variable,years,short_desc,long_desc,sources,category,plaintext_cite,bibtex_cite,plaintext_cite2,bibtex_cite2,plaintext_cite3,bibtex_cite3,plaintext_cite4,bibtex_cite4
multiple_person_accounts,1993-2017,"Encourages banks and credit unions to offer POD (pay on death) and agency (convenience) account forms for use by persons desiring some, but not all, incidents of joint accounts",0 = policy not adopted 1 = policy adopted,"Uniform Law Commission website:  http://www.uniformlaws.org/
Frederick J. Boehmke; Mark Brockway; Bruce Desmarais; Jeffrey J. Harden; Scott LaCombe; Fridolin Linder; Hanna Wallach, 2018, 'State Policy Innovation and Diffusion (SPID) Database v1.0', https://doi.org/10.7910/DVN/CVYSR7",misc. regulation,"Boehmke, Frederick J., et al. ""State Policy Innovation and Diffusion (SPID) Database v1. 0."" Data File and Codebook]. Harvard Dataverse 10 (2018).","@article{boehmke2018state,
  title={State Policy Innovation and Diffusion (SPID) Database v1. 0},
  author={Boehmke, Frederick J and Brockway, Mark and Desmarais, Bruce and Harden, Jeffrey J and LaCombe, Scott and Linder, Fridolin and Wallach, Hanna},
  journal={Data File and Codebook]. Harvard Dataverse},
  volume={10},
  year={2018}
}",NA,NA,NA,NA,NA,NA
nonprobate_transfers_on_death_ac,1990-2017,Allows owner to designate beneficiary to automatically receive property at death,0 = policy not adopted 1 = policy adopted,"Uniform Law Commission website:  http://www.uniformlaws.org/
Frederick J. Boehmke; Mark Brockway; Bruce Desmarais; Jeffrey J. Harden; Scott LaCombe; Fridolin Linder; Hanna Wallach, 2018, 'State Policy Innovation and Diffusion (SPID) Database v1.0', https://doi.org/10.7910/DVN/CVYSR7",misc. regulation,"Boehmke, Frederick J., et al. ""State Policy Innovation and Diffusion (SPID) Database v1. 0."" Data File and Codebook]. Harvard Dataverse 10 (2018).","@article{boehmke2018state,
  title={State Policy Innovation and Diffusion (SPID) Database v1. 0},
  author={Boehmke, Frederick J and Brockway, Mark and Desmarais, Bruce and Harden, Jeffrey J and LaCombe, Scott and Linder, Fridolin and Wallach, Hanna},
  journal={Data File and Codebook]. Harvard Dataverse},
  volume={10},
  year={2018}
}",NA,NA,NA,NA,NA,NA
partition_of_heirs_property_act,2011-2017,Helps preserve family wealth passed to the next generation in the form of real property,0 = policy not adopted 1 = policy adopted,"Uniform Law Commission website:  http://www.uniformlaws.org/
Frederick J. Boehmke; Mark Brockway; Bruce Desmarais; Jeffrey J. Harden; Scott LaCombe; Fridolin Linder; Hanna Wallach, 2018, 'State Policy Innovation and Diffusion (SPID) Database v1.0', https://doi.org/10.7910/DVN/CVYSR7",misc. regulation,"Boehmke, Frederick J., et al. ""State Policy Innovation and Diffusion (SPID) Database v1. 0."" Data File and Codebook]. Harvard Dataverse 10 (2018).","@article{boehmke2018state,
  title={State Policy Innovation and Diffusion (SPID) Database v1. 0},
  author={Boehmke, Frederick J and Brockway, Mark and Desmarais, Bruce and Harden, Jeffrey J and LaCombe, Scott and Linder, Fridolin and Wallach, Hanna},
  journal={Data File and Codebook]. Harvard Dataverse},
  volume={10},
  year={2018}
}",NA,NA,NA,NA,NA,NA
partnership_act_1914,1969-2017,Helps make regulation of business partnerships uniform between states,0 = policy not adopted 1 = policy adopted,"Uniform Law Commission website:  http://www.uniformlaws.org/
Frederick J. Boehmke; Mark Brockway; Bruce Desmarais; Jeffrey J. Harden; Scott LaCombe; Fridolin Linder; Hanna Wallach, 2018, 'State Policy Innovation and Diffusion (SPID) Database v1.0', https://doi.org/10.7910/DVN/CVYSR7",misc. regulation,"Boehmke, Frederick J., et al. ""State Policy Innovation and Diffusion (SPID) Database v1. 0."" Data File and Codebook]. Harvard Dataverse 10 (2018).","@article{boehmke2018state,
  title={State Policy Innovation and Diffusion (SPID) Database v1. 0},
  author={Boehmke, Frederick J and Brockway, Mark and Desmarais, Bruce and Harden, Jeffrey J and LaCombe, Scott and Linder, Fridolin and Wallach, Hanna},
  journal={Data File and Codebook]. Harvard Dataverse},
  volume={10},
  year={2018}
}",NA,NA,NA,NA,NA,NA
partnership_act_1997_last_amen,1993-2017,Helps make regulation of business partnerships uniform between states,0 = policy not adopted 1 = policy adopted,"Uniform Law Commission website:  http://www.uniformlaws.org/
Frederick J. Boehmke; Mark Brockway; Bruce Desmarais; Jeffrey J. Harden; Scott LaCombe; Fridolin Linder; Hanna Wallach, 2018, 'State Policy Innovation and Diffusion (SPID) Database v1.0', https://doi.org/10.7910/DVN/CVYSR7",misc. regulation,"Boehmke, Frederick J., et al. ""State Policy Innovation and Diffusion (SPID) Database v1. 0."" Data File and Codebook]. Harvard Dataverse 10 (2018).","@article{boehmke2018state,
  title={State Policy Innovation and Diffusion (SPID) Database v1. 0},
  author={Boehmke, Frederick J and Brockway, Mark and Desmarais, Bruce and Harden, Jeffrey J and LaCombe, Scott and Linder, Fridolin and Wallach, Hanna},
  journal={Data File and Codebook]. Harvard Dataverse},
  volume={10},
  year={2018}
}",NA,NA,NA,NA,NA,NA
planned_community_act,1997-2017,"Comprehensive provisions for creating, managing, and terminating planned community developments",0 = policy not adopted 1 = policy adopted,"Uniform Law Commission website:  http://www.uniformlaws.org/
Frederick J. Boehmke; Mark Brockway; Bruce Desmarais; Jeffrey J. Harden; Scott LaCombe; Fridolin Linder; Hanna Wallach, 2018, 'State Policy Innovation and Diffusion (SPID) Database v1.0', https://doi.org/10.7910/DVN/CVYSR7",misc. regulation,"Boehmke, Frederick J., et al. ""State Policy Innovation and Diffusion (SPID) Database v1. 0."" Data File and Codebook]. Harvard Dataverse 10 (2018).","@article{boehmke2018state,
  title={State Policy Innovation and Diffusion (SPID) Database v1. 0},
  author={Boehmke, Frederick J and Brockway, Mark and Desmarais, Bruce and Harden, Jeffrey J and LaCombe, Scott and Linder, Fridolin and Wallach, Hanna},
  journal={Data File and Codebook]. Harvard Dataverse},
  volume={10},
  year={2018}
}",NA,NA,NA,NA,NA,NA
powers_of_appointment,2014-2017,Regulate power of appointment for estate planning,0 = policy not adopted 1 = policy adopted,"Uniform Law Commission website:  http://www.uniformlaws.org/
Frederick J. Boehmke; Mark Brockway; Bruce Desmarais; Jeffrey J. Harden; Scott LaCombe; Fridolin Linder; Hanna Wallach, 2018, 'State Policy Innovation and Diffusion (SPID) Database v1.0', https://doi.org/10.7910/DVN/CVYSR7",misc. regulation,"Boehmke, Frederick J., et al. ""State Policy Innovation and Diffusion (SPID) Database v1. 0."" Data File and Codebook]. Harvard Dataverse 10 (2018).","@article{boehmke2018state,
  title={State Policy Innovation and Diffusion (SPID) Database v1. 0},
  author={Boehmke, Frederick J and Brockway, Mark and Desmarais, Bruce and Harden, Jeffrey J and LaCombe, Scott and Linder, Fridolin and Wallach, Hanna},
  journal={Data File and Codebook]. Harvard Dataverse},
  volume={10},
  year={2018}
}",NA,NA,NA,NA,NA,NA
principal_and_income_act_1962,1968-2017,Provide procedures for trustees administering trusts and personal representatives administering estates in allocating assets to principal and income (1962),0 = policy not adopted 1 = policy adopted,"Uniform Law Commission website:  http://www.uniformlaws.org/
Frederick J. Boehmke; Mark Brockway; Bruce Desmarais; Jeffrey J. Harden; Scott LaCombe; Fridolin Linder; Hanna Wallach, 2018, 'State Policy Innovation and Diffusion (SPID) Database v1.0', https://doi.org/10.7910/DVN/CVYSR7",misc. regulation,"Boehmke, Frederick J., et al. ""State Policy Innovation and Diffusion (SPID) Database v1. 0."" Data File and Codebook]. Harvard Dataverse 10 (2018).","@article{boehmke2018state,
  title={State Policy Innovation and Diffusion (SPID) Database v1. 0},
  author={Boehmke, Frederick J and Brockway, Mark and Desmarais, Bruce and Harden, Jeffrey J and LaCombe, Scott and Linder, Fridolin and Wallach, Hanna},
  journal={Data File and Codebook]. Harvard Dataverse},
  volume={10},
  year={2018}
}",NA,NA,NA,NA,NA,NA
principal_and_income_act_2000,1997-2017,Provide procedures for trustees administering trusts and personal representatives administering estates in allocating assets to principal and income (2000),0 = policy not adopted 1 = policy adopted,"Uniform Law Commission website:  http://www.uniformlaws.org/
Frederick J. Boehmke; Mark Brockway; Bruce Desmarais; Jeffrey J. Harden; Scott LaCombe; Fridolin Linder; Hanna Wallach, 2018, 'State Policy Innovation and Diffusion (SPID) Database v1.0', https://doi.org/10.7910/DVN/CVYSR7",misc. regulation,"Boehmke, Frederick J., et al. ""State Policy Innovation and Diffusion (SPID) Database v1. 0."" Data File and Codebook]. Harvard Dataverse 10 (2018).","@article{boehmke2018state,
  title={State Policy Innovation and Diffusion (SPID) Database v1. 0},
  author={Boehmke, Frederick J and Brockway, Mark and Desmarais, Bruce and Harden, Jeffrey J and LaCombe, Scott and Linder, Fridolin and Wallach, Hanna},
  journal={Data File and Codebook]. Harvard Dataverse},
  volume={10},
  year={2018}
}",NA,NA,NA,NA,NA,NA
principal_and_income_amendments,2009-2017,Provide procedures for trustees administering trusts and personal representatives administering estates in allocating assets to principal and income (2008),0 = policy not adopted 1 = policy adopted,"Uniform Law Commission website:  http://www.uniformlaws.org/
Frederick J. Boehmke; Mark Brockway; Bruce Desmarais; Jeffrey J. Harden; Scott LaCombe; Fridolin Linder; Hanna Wallach, 2018, 'State Policy Innovation and Diffusion (SPID) Database v1.0', https://doi.org/10.7910/DVN/CVYSR7",misc. regulation,"Boehmke, Frederick J., et al. ""State Policy Innovation and Diffusion (SPID) Database v1. 0."" Data File and Codebook]. Harvard Dataverse 10 (2018).","@article{boehmke2018state,
  title={State Policy Innovation and Diffusion (SPID) Database v1. 0},
  author={Boehmke, Frederick J and Brockway, Mark and Desmarais, Bruce and Harden, Jeffrey J and LaCombe, Scott and Linder, Fridolin and Wallach, Hanna},
  journal={Data File and Codebook]. Harvard Dataverse},
  volume={10},
  year={2018}
}",NA,NA,NA,NA,NA,NA
probate_code,1971-2017,Governs inheritance and decedents' estates,0 = policy not adopted 1 = policy adopted,"Uniform Law Commission website:  http://www.uniformlaws.org/
Frederick J. Boehmke; Mark Brockway; Bruce Desmarais; Jeffrey J. Harden; Scott LaCombe; Fridolin Linder; Hanna Wallach, 2018, 'State Policy Innovation and Diffusion (SPID) Database v1.0', https://doi.org/10.7910/DVN/CVYSR7",misc. regulation,"Boehmke, Frederick J., et al. ""State Policy Innovation and Diffusion (SPID) Database v1. 0."" Data File and Codebook]. Harvard Dataverse 10 (2018).","@article{boehmke2018state,
  title={State Policy Innovation and Diffusion (SPID) Database v1. 0},
  author={Boehmke, Frederick J and Brockway, Mark and Desmarais, Bruce and Harden, Jeffrey J and LaCombe, Scott and Linder, Fridolin and Wallach, Hanna},
  journal={Data File and Codebook]. Harvard Dataverse},
  volume={10},
  year={2018}
}",NA,NA,NA,NA,NA,NA
probate_code_amendments_2008,2009-2017,Governs inheritance and decedents' estates (2008),0 = policy not adopted 1 = policy adopted,"Uniform Law Commission website:  http://www.uniformlaws.org/
Frederick J. Boehmke; Mark Brockway; Bruce Desmarais; Jeffrey J. Harden; Scott LaCombe; Fridolin Linder; Hanna Wallach, 2018, 'State Policy Innovation and Diffusion (SPID) Database v1.0', https://doi.org/10.7910/DVN/CVYSR7",misc. regulation,"Boehmke, Frederick J., et al. ""State Policy Innovation and Diffusion (SPID) Database v1. 0."" Data File and Codebook]. Harvard Dataverse 10 (2018).","@article{boehmke2018state,
  title={State Policy Innovation and Diffusion (SPID) Database v1. 0},
  author={Boehmke, Frederick J and Brockway, Mark and Desmarais, Bruce and Harden, Jeffrey J and LaCombe, Scott and Linder, Fridolin and Wallach, Hanna},
  journal={Data File and Codebook]. Harvard Dataverse},
  volume={10},
  year={2018}
}",NA,NA,NA,NA,NA,NA
protection_of_charitable_assets,2014-2017,Articulate and confirm the role of the state attorney general in protecting charitable assets,0 = policy not adopted 1 = policy adopted,"Uniform Law Commission website:  http://www.uniformlaws.org/
Frederick J. Boehmke; Mark Brockway; Bruce Desmarais; Jeffrey J. Harden; Scott LaCombe; Fridolin Linder; Hanna Wallach, 2018, 'State Policy Innovation and Diffusion (SPID) Database v1.0', https://doi.org/10.7910/DVN/CVYSR7",misc. regulation,"Boehmke, Frederick J., et al. ""State Policy Innovation and Diffusion (SPID) Database v1. 0."" Data File and Codebook]. Harvard Dataverse 10 (2018).","@article{boehmke2018state,
  title={State Policy Innovation and Diffusion (SPID) Database v1. 0},
  author={Boehmke, Frederick J and Brockway, Mark and Desmarais, Bruce and Harden, Jeffrey J and LaCombe, Scott and Linder, Fridolin and Wallach, Hanna},
  journal={Data File and Codebook]. Harvard Dataverse},
  volume={10},
  year={2018}
}",NA,NA,NA,NA,NA,NA
prudent_investor_act,1991-2017,Reflects a 'Modern Portfolio Theory' and 'Total Return' approach to the exercise of fiduciary investment discretion,0 = policy not adopted 1 = policy adopted,"Uniform Law Commission website:  http://www.uniformlaws.org/
Frederick J. Boehmke; Mark Brockway; Bruce Desmarais; Jeffrey J. Harden; Scott LaCombe; Fridolin Linder; Hanna Wallach, 2018, 'State Policy Innovation and Diffusion (SPID) Database v1.0', https://doi.org/10.7910/DVN/CVYSR7",misc. regulation,"Boehmke, Frederick J., et al. ""State Policy Innovation and Diffusion (SPID) Database v1. 0."" Data File and Codebook]. Harvard Dataverse 10 (2018).","@article{boehmke2018state,
  title={State Policy Innovation and Diffusion (SPID) Database v1. 0},
  author={Boehmke, Frederick J and Brockway, Mark and Desmarais, Bruce and Harden, Jeffrey J and LaCombe, Scott and Linder, Fridolin and Wallach, Hanna},
  journal={Data File and Codebook]. Harvard Dataverse},
  volume={10},
  year={2018}
}",NA,NA,NA,NA,NA,NA
real_estate_cooperative,1982-2017,"Provides comprehensive legislation governing the critical phases of cooperative development: creation, financing, management, and termination",0 = policy not adopted 1 = policy adopted,"Uniform Law Commission website:  http://www.uniformlaws.org/
Frederick J. Boehmke; Mark Brockway; Bruce Desmarais; Jeffrey J. Harden; Scott LaCombe; Fridolin Linder; Hanna Wallach, 2018, 'State Policy Innovation and Diffusion (SPID) Database v1.0', https://doi.org/10.7910/DVN/CVYSR7",misc. regulation,"Boehmke, Frederick J., et al. ""State Policy Innovation and Diffusion (SPID) Database v1. 0."" Data File and Codebook]. Harvard Dataverse 10 (2018).","@article{boehmke2018state,
  title={State Policy Innovation and Diffusion (SPID) Database v1. 0},
  author={Boehmke, Frederick J and Brockway, Mark and Desmarais, Bruce and Harden, Jeffrey J and LaCombe, Scott and Linder, Fridolin and Wallach, Hanna},
  journal={Data File and Codebook]. Harvard Dataverse},
  volume={10},
  year={2018}
}",NA,NA,NA,NA,NA,NA
real_property_transfer_on_death,2011-2017,Allows for designated beneficiary to automatically receive property transfer at owner's death,0 = policy not adopted 1 = policy adopted,"Uniform Law Commission website:  http://www.uniformlaws.org/
Frederick J. Boehmke; Mark Brockway; Bruce Desmarais; Jeffrey J. Harden; Scott LaCombe; Fridolin Linder; Hanna Wallach, 2018, 'State Policy Innovation and Diffusion (SPID) Database v1.0', https://doi.org/10.7910/DVN/CVYSR7",misc. regulation,"Boehmke, Frederick J., et al. ""State Policy Innovation and Diffusion (SPID) Database v1. 0."" Data File and Codebook]. Harvard Dataverse 10 (2018).","@article{boehmke2018state,
  title={State Policy Innovation and Diffusion (SPID) Database v1. 0},
  author={Boehmke, Frederick J and Brockway, Mark and Desmarais, Bruce and Harden, Jeffrey J and LaCombe, Scott and Linder, Fridolin and Wallach, Hanna},
  journal={Data File and Codebook]. Harvard Dataverse},
  volume={10},
  year={2018}
}",NA,NA,NA,NA,NA,NA
residential_landlord_and_tenant,1972-2017,Codify best practices in leasing housing,0 = policy not adopted 1 = policy adopted,"Uniform Law Commission website:  http://www.uniformlaws.org/
Frederick J. Boehmke; Mark Brockway; Bruce Desmarais; Jeffrey J. Harden; Scott LaCombe; Fridolin Linder; Hanna Wallach, 2018, 'State Policy Innovation and Diffusion (SPID) Database v1.0', https://doi.org/10.7910/DVN/CVYSR7",misc. regulation,"Boehmke, Frederick J., et al. ""State Policy Innovation and Diffusion (SPID) Database v1. 0."" Data File and Codebook]. Harvard Dataverse 10 (2018).","@article{boehmke2018state,
  title={State Policy Innovation and Diffusion (SPID) Database v1. 0},
  author={Boehmke, Frederick J and Brockway, Mark and Desmarais, Bruce and Harden, Jeffrey J and LaCombe, Scott and Linder, Fridolin and Wallach, Hanna},
  journal={Data File and Codebook]. Harvard Dataverse},
  volume={10},
  year={2018}
}",NA,NA,NA,NA,NA,NA
